Tweets,Label
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
$AAPL - Apple Will Be The Main Victim Of Microsoft And Google Cutthroat Smartp... -&gt; http://t.co/RkPYPzAjpx #stock #stocks #stockaction,1
"New Education: Supply/Demand Zones, Accumulation/Distribution, &amp; Price Patterns http://t.co/IA7BJllORO $SPY $QQQ $IWM $AAPL $TWTR $STUDY",0
"I bought a new TV this year. Would probably have been a $AAPL TV if they made one, competition didn't seem to be very strong.",0
"$AAPL [video] Apple Denies Working With NSA, and More http://t.co/VDXNDglE2c",1
$AAPL Cleaning the Mobile Germ Warehouse http://t.co/ccmsRgWSjd,0
$AAPL Kara Swisher and Walt Mossberg launch Re/code http://t.co/ZvJJiohosy,0
$AAPL Let's not let the WF downgrade overshadow Cantor's 2014 top large cap pick with a $777 price target.,0
"Will 2014 be Apple's ""year of innovation"" (http://t.co/GkDVTnpbDT) or year of gross-margin pressure (http://t.co/v1pFrhK4QQ)? $AAPL",0
$AAPL - Pre-Market: Apple Downgraded on Margin Concerns; Stocks to Start 2014 ... -&gt; http://t.co/J7APp6oJ6v #stock #stocks #stockaction,0
Big Tuna's Stocks - $AAPL Daily Chart ~ Range is Getting http://t.co/vwkwgXx15k,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"$AAPL The Zacks Analyst Blog Highlights: Apple, Nokia, http://t.co/cB6q1uGILs, Microsoft and SolarWinds http://t.co/d6s3BVCfsR",0
"RT @MW_AAPL: Apple slips, Urban Outfitters up on analyst call http://t.co/ret4iajdrQ $AAPL",0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
$AAPL How Is Tim Cook Doing Taking Over From The Legendary Steve Jobs? http://t.co/A6gnvXPLaN,0
This weeks $AAPL 550 puts are already up a dollar today.,0
"Thursday headlines include news on $CPB, $NYT, $AAPL, $WMT and $NFLX http://t.co/SI4DNYMz1H",0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"The Five-Year-Old iPad: When Will People Stop Upgrading?
$AAPL ​​​#aapl  http://t.co/Vv0WElpTs2",1
"$AAPL was below this level two weeks ago, and then jumped to 570 the following week (CHL news). Earnings run up will be next catalyst.",0
$AAPL Apple Sale: Best Buy Temporarily Cuts iPhone 5S Price http://t.co/ivaGEpfuqa,0
RT @takingstock614: Also added $AAPL common here w 541 stop,1
RT @SAI: GOOGLE'S DIRTY SECRET: Android Phones Are Basically Used As Dumbphones $AAPL $GOOG by @Jim_Edwards http://t.co/yTDfXnikau,1
$BBRY $AAPL BlackBerry files suit against Typo: Full Story http://t.co/DH3gCB3oQM,0
RT @2kaykim: hmm not so much for $AAPL .. we got this double top threat goin on here..,1
RT @LouisvilleWhale: @Trimmer3098 What I like about $AAPL long term is its ~9.5 PE ex-cash gives it a floor on valuation. Only hi quality s…,0
$AAPL is soooo pathetic. One has to wonder if iCahn is selling. 544 must hold.,1
RT @nanexllc: 50% of trades in $AAPL today are for less than 100 shares #oddlots,0
the good support for $AAPL today is 541.02 http://t.co/FMMliQrLgE,0
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
"Bloggers trading $AAPL stupid again
#NSA ‘malicious hackers’ &amp; then?
Before it becomes farce
Maybe next try to parse
What ‘any’ means &amp; when",1
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
$AAPL new lows.. still holding half lotto 542.50 puts,1
"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL -- http://t.co/NlmUMm2iiH",0
Best position Today:  $GLD  (non-core long)   Worst - $AAPL (core-long)   #FVAM  #stockaction,0
Overall market VIX is down .35% where as $AAPL IV is up 3.72%. If this is not a pre-event shake-down then there is no more trading for me...,1
$AAPL BlackBerry sues Ryan Seacrest's company over iPhone keyboard http://t.co/1XLRHPWZ7p,0
$AAPL - Online Retail Sales Up in Q4 -&gt; http://t.co/EHm08GMOYv #stock #stocks #stockaction,0
$AAPL - Boeing contract with machinists - details of agreement -&gt; http://t.co/lITCQxFPEw #stock #stocks #stockaction,0
ClayTrader: * * $AAPL Video Chart 1/3/14 * *: ClayTrader http://t.co/pgdM0CoEjP,0
"RT @ValaAfshar: January 3, 1977 – Steve Jobs and Steve Wozniak incorporated Apple Computer Company. $AAPL",0
Apple iWatch reportedly already in production http://t.co/p55qscXlNC #IBDBlogs via @IBDinvestors  $AAPL $QCOM $SNE $NKE,0
"Apple Stock Forecast: Playing $AAPL - S&amp;P 500 Spread As “Market Neutral” Strategy. |  http://t.co/cIYXfTMZTk
$SPY""""""""""",0
$AAPL Machinists vote helps Boeing avoid hiring crunch http://t.co/cHGrAD2M6z,0
"@jimcramer jim,the ""great""@Peter Ghostine has predicted $425 for $AAPL what says u ?.TARGET = $425 http://t.co/l5m13Pr1Oo",0
$AAPL ... Forecasting Apple Using Evidence-Driven Technical Analysis (Subscribers Only). TARGET = $425 http://t.co/VSGZNLCC5P,0
RT @StockTwits: Here are the 100 most popular and most trending stocks of the last year http://t.co/jpg5ydFnv8 $SPY $FB $AAPL,0
In it  to win it: $MU puts working.. $AAPL long working.. $SAN sitting: In it  to win it http://t.co/uIeGP5NAMw,0
$AAPL Intel Has A Shot At Winning Apple http://t.co/ddVWUyaS7J,0
Wall Street vs AAPL in nine bar-charts http://t.co/PmAe5INF9z $AAPL,0
RT @SteveTappin: 9 Bar Charts: Apple vs. Amazon vs. Google http://t.co/UKCzOEDV2f $AMZN $GOOG Only market sentiment killing $AAPL #CEO,1
$AAPL r/g &amp; V. important reversal on daily here. This is a big technical defense,0
"No Steve Jobs but could argue Steve Jobs is not who you want to lead company at this stage. To early to know? @dasan ""ineffective CEO"" $AAPL",1
$AAPL resistance is strong at 545.5,0
Updated Report for $AAPL via @SeekingAlpha.  https://t.co/g6LvQpb70D  http://t.co/CPQfBkt2Vu,0
Focus list $SCTY $MNKD $P $ARIA $MGM $FSLR $MU $AAPL $JASO $FB $CELG $SOL $GRPN $CAMT $ABT,0
"""@T3Live: http://t.co/n0WxM71pCm Downgraded $AAPL Looks for New Footing $FXI $SPX $BAC $C $TWTR $FB @RedDogT3Live @BrittanyUmar""",0
$AAPL Apple’s Products May Get Curved Displays From Corning http://t.co/lmi1iWYsyX,0
Let's see how strong this $AAPL move is. It can get as high as $550 in the next couple days.,0
RT @Benzinga: January Effect On Markets Appears Delayed $AA $AAPL $BAC  http://t.co/47Yca41J9v,1
$AAPL - Nice momentum. Some short covering will happen that can push it up,0
"RT @andrewunknown: ""@andrewnyquist: Posted this $AAPL chart over the weekend - Nearing important technical support confluence http://t.co/0…",0
did $AAPL find a bottom premarket? heard lots of sub 500 chatter last week... both sides have a good argument for now,0
"$AAPL [video] Asian Stocks Down, Liberty Poised to Acquire Sirius XM http://t.co/x3D8Fm0u7d",0
SPX CIT Dates: $AAPL Breaking Key Support Levels http://t.co/qLNVHDPCwS,0
"Dirty Secrets Apple Doesn’t Want You To Know.
http://t.co/Y6jYFdJ0Cr

$AAPL $FB $TWTR $TSMA #Finance #apple",1
"$AAPL QUALCOMM, Inc. : Industry Analyst Jeff Kagan on Apple iWatch Smartwatch ... http://t.co/1WlhA0BXbc",0
RT @Street_Insider: Standpoint Research Downgrades Apple $AAPL to Sell for Moral Reasons http://t.co/zHfEOy4hQD,0
$AAPL How Quickly Will Windows and Office Die? http://t.co/fFJMUSK2wm,1
"$AAPL filled overnight gap, now attempting to shift closing level to support http://t.co/3FV8IgdYSp",0
$AAPL I love my iPad b/c no virus and I am protected by Apple. Android is open source and full of virus etc. I don't want it in my car...,0
RT @ValaAfshar: Why 2014 could be the most interesting year in technology in a long time http://t.co/NsFlq9imIz $AAPL,0
$AAPL [video] How Much Does the App Store Mean to Apple? http://t.co/UuQ4kj4Syl,0
$AAPL Samsung to report profit decline as phone sales lag http://t.co/xIxfXlSII8,0
$FSLR $AAPL $MU $C $MA $YOKU $SD $MRK $V Active equity options trading on open: Full Story http://t.co/vLwV2vz756,0
$AAPL seeing potential to hold a higher low above yest's LOD &amp; if so 550/51 is 1st key trgt; +551 = grind in2 earnings; -540 = 536 then 529,1
$AAPL lows of the day.  http://t.co/BIMpdEfg2P http://t.co/8YzhXOkrhI,1
RT @CNBC: Apple reports $10 billion worth of apps sold in 2013: http://t.co/F7UpW2lUqJ $AAPL,0
“@CNBC: Apple reports $10 billion worth of apps sold in 2013: http://t.co/8IByyOJOka $AAPL” #crazy,1
$AAPL - 8:34 am Apple announces App store sales topped $10 billion in 2013 -&gt; http://t.co/XtboXHVHZl #stock #stocks #stockaction,0
"Apple $AAPL Is Rich, Fat, &amp; Happy http://t.co/s4URjX1XvC",0
$SSNLF estimates greater-than-expected decline in profits &amp; sales amid stiff competition http://t.co/zNeaXB5KOR $AAPL,0
You know you want it...don't be a hater :P #iPhone7 #YouSawItHereFirst $AAPL http://t.co/0eBzP3EMFC,0
RT @DeidreZune: Samsung lowers guidance on same day Micael Bay walks off stage at #CES promotional event -- Need to copy $AAPL choreography,1
RT @SeekingAlpha: Build A Mini Long-Short Portfolio With These 6 High-Priced Shares http://t.co/J5ta6cvi98 $AAMC $AAPL $AMZN $BRK.A $TPRP $…,0
"If you wanna sell in China, better use Chinese channels. $AAPL opens store on Alibaba's Tmall http://t.co/i0cCjCgSOf",0
"RT @maxjcm: US smpartphone penetration 68.3% up 3%, $AAPL 41.2% (up 0.5% from August). Samsung 26% share (up 1.7% points) end Nov http://t.…",0
Wait for it..........$AAPL,0
$AAPL - Interesting April Stock Options For AAPL -&gt; http://t.co/q51I2WLJqF #stock #stocks #stockaction,0
Apple $AAPL says App Store sales top USD 10bln in 2013 #stocks,0
"Link bait ""@Forbes: Is Apple worth $12,000 a share? http://t.co/QrOMLmTm0i $AAPL""",0
RT @CNBC: Apple reports $10 billion worth of apps sold in 2013: http://t.co/F7UpW2lUqJ $AAPL,0
RT @WSJ: Sales at Apple's App Store topped $10 billion in 2013. Nearly 3 billion apps downloaded in December. http://t.co/XTAiLFlOcT $AAPL,0
RT @WSJD: Sales at Apple's App Store topped $10 billion in 2013. Nearly 3 billion apps downloaded in December. http://t.co/wwRQh3Viqe $AAPL,0
“@JaKe_ChuPick: Out half $AAPL 540 puts for 27.27%” same,0
$GOOG will be a $2000 stock by year-end '15. Can't wait for the first $2k price target. $AAPL will be a $1000 stock...never.,0
"RT @StockTwits: Apple's App Store earns more money in one year than:

Facebook
MasterCard
Netflix
AutoZone

--&gt; http://t.co/QlLTDTFt2q $AAPL",0
Who the fuck is selling $AAPL?,1
“@EXPstocktrader: New post: http://t.co/Hc9FQVdWl1 $AAPL $ARIA $NQ $SSH $RMTI $WLT”/ Good read!,0
$AAPL - Insights From A Smart House Innovator -&gt; http://t.co/NlJ2v3H3Nh #stock #stocks #stockaction,0
$AAPL #App #Store #sales &gt; $10 #billion http://t.co/ztY6fLydaj #digital #iphone #ipad #mac #revenue #profit #growth #tech #LoB #iTunes #usa,0
"New Deal, New Stores: Apple’s Plan for #China http://t.co/IYZLLMQc9l via @wallstCS $AAPL",0
$AAPL over 546.86... I go long if happens today,0
$AAPL Apple’s iPhone Gets Cheaper in China http://t.co/0PjiRIaH7k,0
"Great stuff guys. “@RedDogT3Live: ""@T3Live: http://t.co/NZ84TWpLAe Morning Call Express $GOOG $AAPL $TWTR $FB $BAC $C $TSLA @BrittanyUmar""”",0
"$AAPL - [video] Typo, the iPhone cover with a keyboard -&gt; http://t.co/IksC04FVKT #stock #stocks #stockaction",0
Trading Off the Value of Apple’s Music Monopoly http://t.co/Or3daVbf3b | $AAPL #iTunes #iPod,0
"RT @Amazonomics: Oh, the irony! Hilariously superb! $AAPL http://t.co/EqXWk0l1x0",0
"RT @NewsBreaker: 10 BILLION: Apple says customers spent $10,000,000,000 on apps in 2013  http://t.co/lrm788aDlb • $AAPL",0
"RT @NewsBreaker: 10 BILLION: Apple says customers spent $10,000,000,000 on apps in 2013  http://t.co/lrm788aDlb • $AAPL",0
"Big day for $AAPL, testing 50-day EMA and channel support. http://t.co/HV7Jkcwsus",0
"$AAPL please help me understand the math.Billions in holiday sales, china mobile, itv, iwatch, iPad pro, ihome, iPhone air.  And it's a sell",0
BlackBerry's Funeral May Have To Wait. It Seems To Have Returned From The Dead $BBRY  $AAPL http://t.co/wLbLx9YXsa,1
RT @mister__x_: $GOOG nearly a $400b company. Yet no one is concerned by it's size like $AAPL. It can supposedly keep growing at these rate…,0
Very pleased that I'm still holding my $BIDU runners.  Long $AMZN $AAPL Short $CME,0
$AAPL adding here. If you trimmed in the 570s you have been waiting  for this pullback.,0
$AAPL may be worth a L but just for a bounce here.,0
"Apple Inc ($AAPL) Moderately down, lost over 3%. Early Buzzers Apple Inc LinkedIn Corp Micron Technology TASE:  http://t.co/1s7ICv49AU",1
$AAPL - Predicting Pandoras Earnings -&gt; http://t.co/mWkIZOvHNg #stock #stocks #stockaction,0
"$AAPL - MARKET SNAPSHOT: S&amp;P 500 Ekes Out Gains, But Dow, Nasdaq Drop http://t.co/1ZcgYVelIq",1
"$AAPL Chart of the Day: Tracking iPhone, iPod sales - http://t.co/3dFESfzSGr http://t.co/9RPf87PH7t",0
$AAPL - [$$] Appeals Court Backs Apple in Patent Case -&gt; http://t.co/h9ezzypDXh #stock #stocks #stockaction,1
7 years seems like 7 months. $AAPL,0
$AAPL This is the most painful stock to play in the options mkt HANDS DOWN,1
$AAPL right on schedule; less than a $1 from giving back all of the pre-mtk upside,0
"$AAPL Apple Inc. : Is marketplace ahead of your strategy?: 
Apple Inc. : Is marketplace ahead of your strategy... http://t.co/LmacN08H6N",0
$AAPL now testing the $532 breakout level from the base that it built back in Oct/Nov. This breakout sparked by CM deal rumors.,0
$AAPL Apple Inc. (AAPL): Apple's A8 -- What It Will Be And Why It Matters http://t.co/CsholbR7Sh,0
"$AAPL urges vote against Icahn proposal, Human Rights Board committee, proxy access http://t.co/Ycc7X647DE #corpgov #ESG see my comments",0
$AAPL Apple Must Fix These Issues to Reach New Highs - DailyFinance http://t.co/M7pb3E7GfR,0
@petenajarian @PetesAssistant @CNBCFastMoney $AAPL trading at same multiple as $MSFT - this is purely stupid!,1
Pfizer hopes an iPad game can detect Alzheimer’s: http://t.co/BwzEPY8ivi • $PFE $AAPL,0
RT @chessNwine: NEW POST: Stock #Market Recap 01/09/14 http://t.co/FWuKmcRxdu $AAPL $CMG $FB $iWM $NFLX $QQQ $SPY $TSLA,0
"RT @MarketCurrents: Apple roundup: Bigger iPhones, carrier subsidies, U.S. Mac sales http://t.co/bSLZEai8Ji $AAPL",0
Appeals Court: Apple’s iPhone Does Not Infringe on Motorola’s Patent http://t.co/PyX5kGNgah | $AAPL $GOOG,0
"woh doctor! @YahooFinance: #Apple reports $1 billion #app sales in December, $10 billion for 2013 http://t.co/SXyXev1pjJ $AAPL",0
RT @CNNMoney: Shoppers rush into Apple's $AAPL Hong Kong store drawn by its second-annual Asian Red Friday sale. http://t.co/R7drf7qtGg,0
CNNMONEY:Shoppers rush into Apple's $AAPL Hong Kong store drawn by its second-annual Asian Red Friday sale. http://t.co/2u1jD5wCP2,0
$AAPL Apple Inc. (AAPL): Apple's A8 -- What It Will Be And Why It Matters http://t.co/teH7J03Wjl,0
$AAPL iPhone's 7th anniversary - the handset in numbers - http://t.co/ts0gltqfdh http://t.co/Dof69LyOpJ,0
Is Apple Working on a Home-Based Media Server? http://t.co/jD2UremJUm via @wallstCS $AAPL #mediaserver #patent,0
"$AAPL   excellent short on my part,  mentioned earlier. I don't always mention intraday trades, to busy",0
$AAPL Samsung Galaxy S5 Spec News 2014: Will Apple Release A Larger Screen ... - Crossmap http://t.co/j1p3CYPUfG,0
Bad sales at $SHLD. $SNE streaming games. $AAPL streaming everything$AMZN selling everything. Should anyone own $BBY here? @jimcramer,1
"The line outside 1 $AAPL store in Hong Kong for the ""Red Friday"" sale.  #s look good. Chart does not. Priced in? http://t.co/xRgrczHVMP",0
Looking at my 2013 options trades. My most profitable trade was 469% $AAPL weekly call. Haven't had anything come close that % since then.,0
$AAPL - [$$] Ford Steps on the Gas -&gt; http://t.co/t5TYv9SeLL #stock #stocks #stockaction,0
$AAPL [$$] Chinese Smartphone Insurgents Take Aim at Global Share http://t.co/4B6yzr6gRI,0
RT @BenedictEvans A candidate for best financial news headline of 2013 http://t.co/gqmE8Dp0B5 $AAPL,0
$AAPL To anyone with a long enough time horizon I would recommend buying the fear on the next big dip. Stock about to start growing in Q2.,0
$AAPL Apple's iBeacon Technology Brings New Possibilities for Location-Based Gaming - Mac Rumors http://t.co/2VzQgfyLgH,0
$AAPL Apple to open new store in Brisbane CBD - Courier Mail http://t.co/50ywv65Cfj,0
$AAPL What's Behind The Swift Rise In Apple Stock? http://t.co/guXNuesHHy,0
RT @SupremeSees: $OXBT Monday Gapper? http://t.co/OnrTjg9Zqd $PHOT $FNMA $TWTR $GOOG $AAPL $FB #daytrading #pennystocks #daytradealerts #tr…,0
Apple Inc. (AAPL): What's Behind The Swift Rise In Apple Stock? $AAPL http://t.co/peS16KKOIO,0
Disruptive innovation $AAPL $HPQ $GRMN http://t.co/hviYuNtGqx,0
@Aapl_pain $AAPL catching a bid on a Monday. I am hugely surprised! /s,0
"$AAPL $GOOG $NFLX $SHLD $FB $ISRG
$NRP :16.60 🔜🔜🔜🔻🔻⬇️ 6⃣💲
Put 16 feb",0
Google Set To Challenge Microsoft And Apple In The Connected Car Market $GOOG  $AAPL $MSFT http://t.co/69bOo5V2iz,0
Short side $GC_F $AAPL all miners,0
RT @businessinsider: Google Just Hired The Guy Who Designed The iPod $AAPL $GOOG by @nichcarlson http://t.co/fGE7zXnrZr,0
RT @RedDogT3Live: rdr in $AAPL was good for 10 points -Action area was $531.11- still long some- even a decent bull flag continuation trade…,0
$AAPL - Wireless Charging Is The Must-Have Feature for Apples iWatch -&gt; http://t.co/THjCAUqXXQ #stock #stocks #stockaction,0
Great question. Missed opportunity. MT @om: Why did $AAPL not try and bring @tfadell home?  Anyone got theories? #nest $GOOG,0
$AAPL chart by @FibLine: http://t.co/5O7JfxOSvD AAPL.,0
$NQ_f is down 50 handles with $AAPL green.,0
Will $AAPL hold 534 here?,0
$AAPL $TWTR #FlightToSafety http://t.co/8oo8ZKUJdn,0
$AAPL Three things the press gets wrong about Apple in China http://t.co/ddHtiPYhgE,1
RT @stockgarage: Watchlist for Monday http://t.co/YVDt268G2x  $ELTP $TSLA $AAPL $FNMA $MUX $CTSO,0
$AAPL Go long Apple if it can break the 60 minute downtrend line. That will confirm it is holding bottom of channel. http://t.co/QPJHPvHtDh,0
$AAPL Google Takes A Cue From The Apple Playbook With Nest http://t.co/jNFkGM9EYW,0
"RT @MikeTsangaris: I agree with @Rocco_TheStreet on this: Sorry, But This Guy is a Total Idiot on Apple http://t.co/H0IbC2LYAX $AAPL $GOOG",1
"$AAPL DIALOG SEMICON ORD (DLGNF): Apple, Cirrus Logic rally after iPhone/iPad ... - Seeking Alpha http://t.co/CUbCUfSH9I",0
$AAPL My 2 Bits On 64-Bits And Apple's Strong Q1 Outlook - @SeekingAlpha http://t.co/zvZToYOACH,0
"$AAPL - Gundlach on Gold: Heading at Least to $1,350, Owns Gold Miners -&gt; http://t.co/7ri8XVhvcx #stock #stocks #stockaction",0
$AAPL Secretive Apple Squirms in Gaze of U.S. Monitor http://t.co/ea7WMoU3aQ,0
$AAPL highs of the day...nice comeback from yesterday...,0
$GOOG / @nest price tag equates to &lt;1% move in GOOG stock; 2x @YouTube price tag; &lt;10% of GOOG's cash on hand. $AAPL has 3x as much cash.,0
"Fibonacci Technical Levels  $AMZN, $AAPL, $FB, $GOOG http://t.co/vg3wjeoZU2",0
"$AAPL 1,72% supera segunda resistencia diaria de 543.",0
$AAPL Four Apple Stories From Monday You May Have Missed - Benzinga http://t.co/0ThphoUb0x,1
#UP Сегодня я подорожала - $546.39 (+10.66; 1.99%) $AAPL #stocks #АкцииЭппл,0
"$AAPL Walmart arson, iPad theft caught on tape - WOOD-TV http://t.co/V1TRzIHuqD",0
Forgive me but Gundlach calling the next 10% move in $AAPL is not very exciting.,1
$AAPL Plans to reintroduce entry-level iPhone in India.,0
What's Behind The Swift Rise In Apple Stock? http://t.co/bOgBtzkq6U $AAPL,0
"Just voted FOR Icahn's resolution, mostly because I think the stock is at a potential LT inflection point. $AAPL",0
$AAPL there's 546. Nice!,0
$AAPL - MARKET SNAPSHOT: U.S. Stocks Rise After Retail Sales Top Forecasts http://t.co/GsfCMh0ANz,0
$AAPL - People Will Never Stop Drinking: Wisdom of Jim Beam Deal -&gt; http://t.co/MnXtfqTwMT #stock #stocks #stockaction,1
$AAPL Hide your iThings: Apple devices top charts among NYC pickpockets - VentureBeat http://t.co/xCr3HMM8id,0
"Rumor: Apple to reintroduce 8GB iPhone 4 to curb flagging India sales $AAPL ​​​#aapl 
http://t.co/cfDAMuESxR",0
$AAPL $SINA $MTOR $FDML $VIV $SAN $TEF $ORAN $STEM My bets for 2014. Thanks for the pull-back yesterday!,0
$AAPL Expect Solid Results and Guidance from Apple (AAPL) - Jefferies; Estimates Raised http://t.co/gad5fYcHZe via @Street_Insider,0
The $AAPL / China Mobile deal is way less important than Cramer thinks.,0
"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…",0
"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…",0
"""@Osborne820: $AAPL uh oh... new HOD coming?"" Could be. Looks like CNBC attempt at derailing it failed miserably",1
"$AAPL stock content, charts, analysis, &amp; more  -  Free  -  http://t.co/pAvTxpSYhz",0
"Far be it from me to proclaim all-conquering iPhone success on China Mobile, let's be clear. China mkt not US. But it could surprise. $AAPL",0
Bullish stocks today $CHTP $TSLA $DRWI $AMRN $AAPL -money makers,0
RT @44ld: Así va este largo en la acción de #Apple $AAPL +210 pips por análisis técnico #Etrading @InversionOptima @AreaTrader http://t.co/…,0
RT @Kingston_Trader: $AAPL has got it mojo back,0
RT @jimcramer: @Fibonacciqueen dead right on $AAPL--total break out..,1
$AAPL China Mobile Chairman: iPhone presales are in the MILLIONS http://t.co/h20iHEhkVz,0
$AAPL - [$$] Charts: Bulls Still Rule -&gt; http://t.co/jYM71zPp3A #stock #stocks #stockaction,0
"RT @LizRappaport: Advantage, parents! Apple to pay $32.5 mln to settle case over kids buying stuff their parents didn't approve! $AAPL http…",0
Stock futures gaining this morning. http://t.co/ZlHZZDIOYL via @MarketWatch $BAC $AAPL,0
RT @paulmozur: Tim Cook: $AAPL had record iPhone sales in Greater China in quarter ending Dec on early launch of iPhone in China http://t.c…,0
"There’s a cornucopia of R between 51.44-56.37, then 60, 63.40, 67.58 $AAPL",0
"$AAPL $ADBE $AKAM Video of ABC Bullish Patterns (Jan. 14, 2014) http://t.co/sRWfPVZ0Ex",0
"APPLE Intraday Comments -  Update on First CHL Resistance ?   $AAPL ​​​#aapl 
http://t.co/ScKqfmsytO",0
"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…",0
"RT @philstockworld: Webcast replay: ""Our 3 Top Trades for 2014"" - Last year was  $AAPL, $CIM and $TSLA, which one repeated?  #Profits https…",0
"RT @Carl_C_Icahn: Gave $AAPL notice we’ll be making a precatory proposal to call for vote to increase buyback program, although not at $150…",0
RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F -- http://t.co/PwhWrWrPwu,0
$AAPL - TECH STOCKS: Apple Leads Tech Rally; 3-D Printer Stocks Fall http://t.co/s1NaB0yt9q,0
Apple Inc. (AAPL) To Report Strong Q1 Results And Q2 Guidance $AAPL http://t.co/m3bhO8u7ab,0
RT @AAPL_trader: I would like to see $AAPL close over $550.00 today to be convinced,0
"$AAPL - MARKET SNAPSHOT: U.S. Stocks Extend Rebound, Pushing S&amp;P 500 To Record http://t.co/eClnBWTZSX",0
"China Mobile Is Receiving 60,000 iPhone Pre-Orders Per Day 
$AAPL ​​​#aapl   http://t.co/Y7nvxBHpY9",0
$AAPL - Apple Will Pit Qualcomm Against Intel -&gt; http://t.co/1uWQtdm4Hd #stock #stocks #stockaction,0
